Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential,Type,Congenital_Ailments,Lifetime_Cost,Longevity_Years,Number_of_Congenital_Ailments,Purchase_Price,Food_Costs_Per_Year,Grooming_Frequency
American Pit Bull Terrier,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,
American Staffordshire Terrier,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,,,,,,,,
American Water Spaniel,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0,,,,,,,,
Anatolian Shepherd Dog,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,,,,,,,,
Appenzeller Sennenhunde,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,,,,,,,,
Australian Cattle Dog,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,herding,hip problems,20395,11.67,1,530,466,Once a week
Australian Kelpie,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,,,,,,,,
Australian Shepherd,3.0,4.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,herding,"deafness,hip problems",21458,12.28,2,565,466,Once a week
Australian Terrier,3.0,3.0,5.0,3.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,4.0,terrier,none,17892,11.05,0,640,324,Once a week
Azawakh,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0,,,,,,,,
Barbet,3.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,,,,,,,,
Basenji,4.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,5.0,4.0,1.0,5.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,4.0,5.0,hound,"kidney, eye problems, anaemia",22096,13.58,3,940,324,Once a week
Basset Hound,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,5.0,1.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,5.0,hound,"blood,skin disorders",18328,11.43,2,490,324,Once a week
Beagle,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,1.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,2.0,4.0,5.0,hound,heart problems,19468,12.3,1,288,324,Daily
Bearded Collie,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,,,,,,,,
Bedlington Terrier,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,terrier,"liver,eye problems",22107,13.51,2,1058,324,Once a week
Belgian Malinois,3.0,4.0,5.0,3.0,4.0,1.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,
Belgian Sheepdog,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,1.0,3.0,4.0,3.0,4.0,,,,,,,,
Belgian Tervuren,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,5.0,1.0,4.0,3.0,4.0,herding,"epilepsy,eye problems",19132,10.6,2,1070,466,Once a week
Berger Picard,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,
Bernedoodle,3.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,,,,,,,,
Bernese Mountain Dog,2.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,5.0,1.0,3.0,working,"meningitis,elbow problems,hip problems,complex immune disorder",16099,7.56,4,1320,710,Once a week
Bichon Frise,4.0,5.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,2.0,non-sporting,none,19735,12.21,0,693,324,Daily
Black Mouth Cur,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
Black Russian Terrier,3.0,4.0,5.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,
Black and Tan Coonhound,3.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,,,,,,,,
Bloodhound,3.0,5.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,hound,"fatal stomach bloat,skin problems",13824,6.75,2,608,710,Once a week
Blue Lacy,3.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,,,,,,,,
Bluetick Coonhound,3.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,,,,,,,,
Boerboel,2.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,,,,,,,,
Bolognese,3.0,5.0,3.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,1.0,,,,,,,,
Border Collie,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,3.0,herding,"eye problems,deafness",20143,12.52,2,623,324,Once a week
Border Terrier,3.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,terrier,none,22638,14.0,0,833,324,Once a week
Borzoi,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,hound,none,16176,9.08,0,675,466,Daily
Boston Terrier,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0,non-sporting,breathing problems,17741,10.92,1,690,324,Once a week
Bouvier des Flandres,3.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,herding,hip problems,18959,10.34,1,1335,466,Once a week
Boxer,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,working,"eye problems,nerve,heart problems",15746,8.81,3,700,466,Once a week
Boykin Spaniel,3.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,,,,,,,,
Bracco Italiano,3.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,
Briard,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,herding,hip problems,19673,11.17,1,650,466,Daily
Brittany,3.0,5.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0,sporting,none,22589,12.92,0,618,466,Once a week
Brussels Griffon,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,5.0,toy,none,19551,12.0,0,833,324,Once a week
Bull Terrier,3.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0,terrier,"heart problems,zinc metabolism disorder",18490,10.21,2,1085,466,Once a week
Bulldog,3.0,4.0,3.0,4.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,non-sporting,"breathing,hip problems,heart problems,dry eye",13479,6.29,4,2680,466,Once a week
Bullmastiff,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,working,"eye problems,hip problems",13936,7.57,2,980,466,Once a week
Cairn Terrier,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,terrier,"lion jaw,heart problems  ",21992,13.84,2,435,324,Once a week
Canaan Dog,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,,,,,,,,
Cane Corso,2.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,,,,,,,,
Cardigan Welsh Corgi,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,,,,,,,,
Catahoula Leopard Dog,2.0,3.0,4.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,
Caucasian Shepherd Dog,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,2.0,,,,,,,,
Cavalier King Charles Spaniel,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,toy,"heart problems,spinal problems",18639,11.29,2,1017,324,Once a week
Cesky Terrier,4.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
Chesapeake Bay Retriever,3.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,sporting,hip problems,16697,9.48,1,522,466,Once a week
Chihuahua,3.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,toy,knee problems,26250,16.5,1,588,324,Once a week
Chinese Crested,3.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,
Chinese Shar-Pei,3.0,2.0,2.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,2.0,,,,,,,,
Chinook,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,,,,,,,,
Chow Chow,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,2.0,non-sporting,"eye problems,hip problems",15898,9.01,2,515,466,Daily
Clumber Spaniel,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,5.0,2.0,4.0,sporting,none,18084,10.0,0,1033,466,Once a week
Cockapoo,4.0,5.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,
Cocker Spaniel,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,4.0,3.0,4.0,sporting,"eye problems,skin problems",24330,12.5,2,465,674,Once a week
Collie,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,1.0,,,,,,,,
Coton de Tulear,4.0,5.0,3.0,2.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,3.0,1.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,,,,,,,,
Curly-Coated Retriever,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,
Dachshund,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,3.0,1.0,3.0,5.0,hound,"skin problems,spinal problems",20113,12.63,2,423,324,Once a week
Dalmatian,3.0,4.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,non-sporting,"deafness,urinary stones",19886,11.27,2,695,466,Once a week
Dandie Dinmont Terrier,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,terrier,none,21633,12.17,0,925,466,Daily
Doberman Pinscher,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,5.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,2.0,working,"heart problems,spinal problems, blood clotting disorders",18397,10.33,3,790,466,Once a week
Dogo Argentino,2.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,
Dogue de Bordeaux,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,
Dutch Shepherd,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,,,,,,,,
English Cocker Spaniel,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,sporting,none,18993,11.66,0,800,324,Once a week
English Foxhound,3.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,,,,,,,,
English Setter,3.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,sporting,"deafness,hip problems",20312,11.57,2,615,466,Once a week
English Springer Spaniel,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,sporting,"hip problems,eye problems,skin problems,enzyme deficiency",21946,12.54,4,615,466,Once a week
English Toy Spaniel,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,toy,none,17521,10.1,0,925,405,Once a week
Entlebucher Mountain Dog,3.0,4.0,5.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,3.0,5.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,,,,,,,,
Field Spaniel,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,,,,,,,,
